R,G,B,label,label_name
16,8,7,7,black
139,0,217,3,violet
142,7,207,3,violet
216,240,212,6,white
230,197,31,0,yellow
255,229,19,0,yellow
190,39,0,2,red
240,214,42,0,yellow
117,0,222,3,violet
19,32,4,7,black
235,205,20,0,yellow
231,223,244,6,white
254,242,32,0,yellow
255,129,8,1,orange
229,243,216,6,white
249,105,16,1,orange
219,217,223,6,white
221,1,24,2,red
116,8,186,3,violet
33,71,185,4,blue
187,0,23,2,red
245,213,0,0,yellow
205,10,33,2,red
21,58,198,4,blue
8,166,26,5,green
237,227,215,6,white
21,68,212,4,blue
144,11,218,3,violet
213,97,14,1,orange
237,218,22,0,yellow
206,26,32,2,red
220,235,248,6,white
138,43,177,3,violet
6,43,207,4,blue
105,11,182,3,violet
3,175,32,5,green
153,37,203,3,violet
212,100,9,1,orange
18,81,211,4,blue
13,29,7,7,black
253,228,22,0,yellow
255,233,10,0,yellow
219,26,0,2,red
210,121,0,1,orange
0,52,232,4,blue
26,40,193,4,blue
6,85,187,4,blue
30,172,10,5,green
220,242,28,0,yellow
119,1,200,3,violet
110,45,205,3,violet
196,19,22,2,red
6,161,6,5,green
209,114,8,1,orange
223,224,6,0,yellow
40,184,47,5,green
229,244,13,0,yellow
110,37,205,3,violet
0,195,32,5,green
130,35,225,3,violet
214,5,17,2,red
27,59,204,4,blue
255,211,18,0,yellow
242,130,0,1,orange
242,202,13,0,yellow
8,42,212,4,blue
234,9,10,2,red
3,17,10,7,black
218,19,33,2,red
0,158,46,5,green
202,0,34,2,red
140,24,185,3,violet
227,201,1,0,yellow
16,160,28,5,green
30,7,31,7,black
43,177,42,5,green
227,105,0,1,orange
215,9,20,2,red
15,155,45,5,green
40,49,198,4,blue
235,202,0,0,yellow
11,23,20,7,black
19,204,17,5,green
215,113,12,1,orange
15,195,38,5,green
235,20,1,2,red
22,80,234,4,blue
187,0,29,2,red
34,185,40,5,green
200,36,18,2,red
230,135,11,1,orange
237,235,237,6,white
216,121,26,1,orange
255,213,27,0,yellow
40,203,13,5,green
221,221,16,0,yellow
42,204,32,5,green
40,64,221,4,blue
206,15,32,2,red
221,235,14,0,yellow
119,33,225,3,violet
219,210,233,6,white
220,209,23,0,yellow
28,48,205,4,blue
223,199,40,0,yellow
38,19,26,7,black
230,24,8,2,red
7,51,216,4,blue
205,108,2,1,orange
16,77,227,4,blue
216,29,0,2,red
185,22,35,2,red
141,9,208,3,violet
240,224,238,6,white
7,161,39,5,green
12,184,22,5,green
25,17,29,7,black
205,21,31,2,red
31,201,31,5,green
106,30,182,3,violet
32,202,41,5,green
129,38,224,3,violet
32,188,38,5,green
37,24,38,7,black
244,242,239,6,white
20,53,224,4,blue
255,234,44,0,yellow
37,38,23,7,black
40,61,228,4,blue
222,38,0,2,red
0,166,10,5,green
134,26,198,3,violet
253,200,0,0,yellow
29,163,11,5,green
228,0,29,2,red
234,248,240,6,white
117,32,215,3,violet
226,131,35,1,orange
186,36,27,2,red
221,108,4,1,orange
111,23,217,3,violet
18,36,35,7,black
34,5,32,7,black
238,243,20,0,yellow
133,0,198,3,violet
29,37,37,7,black
6,155,14,5,green
255,232,18,0,yellow
24,4,32,7,black
217,38,32,2,red
21,58,227,4,blue
143,31,194,3,violet
150,9,189,3,violet
34,55,187,4,blue
228,221,250,6,white
209,29,33,2,red
22,60,197,4,blue
186,15,29,2,red
232,16,13,2,red
144,43,201,3,violet
34,41,219,4,blue
113,13,221,3,violet
43,180,8,5,green
0,63,199,4,blue
213,21,5,2,red
251,103,0,1,orange
187,37,0,2,red
233,98,16,1,orange
220,31,0,2,red
187,19,32,2,red
24,185,14,5,green
15,41,222,4,blue
31,83,214,4,blue
33,68,231,4,blue
224,25,22,2,red
28,15,4,7,black
235,220,12,0,yellow
220,94,0,1,orange
249,202,24,0,yellow
204,35,0,2,red
236,200,32,0,yellow
0,57,216,4,blue
255,210,37,0,yellow
15,203,19,5,green
239,216,6,0,yellow
196,18,33,2,red
245,211,36,0,yellow
225,228,224,6,white
201,0,23,2,red
233,0,24,2,red
123,7,184,3,violet
2,13,14,7,black
243,246,222,6,white
231,87,30,1,orange
116,0,200,3,violet
14,18,28,7,black
215,0,26,2,red
252,131,16,1,orange
0,53,185,4,blue
33,30,20,7,black
32,50,195,4,blue
9,4,9,7,black
247,204,22,0,yellow
26,13,23,7,black
255,242,5,0,yellow
20,13,30,7,black
214,210,220,6,white
38,37,36,7,black
245,231,221,6,white
119,0,217,3,violet
37,23,17,7,black
26,85,205,4,blue
245,236,246,6,white
231,0,34,2,red
228,92,26,1,orange
219,0,15,2,red
242,246,238,6,white
234,33,37,2,red
31,14,18,7,black
221,239,234,6,white
19,23,21,7,black
235,9,24,2,red
10,30,33,7,black
248,228,34,0,yellow
236,201,0,0,yellow
120,14,193,3,violet
216,250,222,6,white
23,34,6,7,black
234,227,220,6,white
229,93,0,1,orange
186,30,35,2,red
229,195,0,0,yellow
217,242,221,6,white
11,9,26,7,black
219,235,247,6,white
12,8,16,7,black
195,26,28,2,red
221,105,15,1,orange
187,33,28,2,red
208,15,0,2,red
218,213,19,0,yellow
235,0,37,2,red
1,192,55,5,green
214,230,213,6,white
25,9,19,7,black
225,7,16,2,red
30,40,230,4,blue
219,22,4,2,red
228,239,216,6,white
216,22,7,2,red
235,135,0,1,orange
18,204,33,5,green
12,171,45,5,green
45,182,31,5,green
16,57,207,4,blue
128,0,203,3,violet
213,127,0,1,orange
209,131,0,1,orange
238,85,13,1,orange
26,17,32,7,black
255,235,0,0,yellow
225,206,39,0,yellow
255,228,0,0,yellow
217,39,36,2,red
19,53,192,4,blue
200,1,32,2,red
4,205,22,5,green
247,229,223,6,white
240,241,225,6,white
12,181,46,5,green
210,215,243,6,white
233,202,31,0,yellow
149,3,216,3,violet
154,16,222,3,violet
28,42,191,4,blue
113,26,225,3,violet
209,18,10,2,red
0,81,187,4,blue
249,197,34,0,yellow
221,105,36,1,orange
5,164,15,5,green
222,6,0,2,red
110,3,223,3,violet
212,107,12,1,orange
3,55,221,4,blue
217,0,0,2,red
240,242,23,0,yellow
7,55,233,4,blue
255,200,13,0,yellow
250,235,248,6,white
0,176,6,5,green
139,5,225,3,violet
22,38,24,7,black
24,191,38,5,green
143,29,184,3,violet
235,105,1,1,orange
255,226,7,0,yellow
255,227,22,0,yellow
214,108,15,1,orange
20,162,46,5,green
126,10,222,3,violet
198,8,6,2,red
207,9,34,2,red
209,104,35,1,orange
38,69,230,4,blue
245,234,246,6,white
105,0,206,3,violet
35,22,18,7,black
224,224,231,6,white
216,202,18,0,yellow
120,0,182,3,violet
119,33,206,3,violet
206,1,35,2,red
242,91,22,1,orange
197,40,34,2,red
40,44,187,4,blue
26,21,21,7,black
152,42,221,3,violet
215,106,25,1,orange
16,190,15,5,green
154,0,184,3,violet
238,218,224,6,white
235,213,212,6,white
109,19,193,3,violet
235,224,222,6,white
231,210,240,6,white
111,17,205,3,violet
16,32,14,7,black
255,212,31,0,yellow
220,228,18,0,yellow
9,5,36,7,black
229,217,248,6,white
241,224,220,6,white
206,21,15,2,red
246,225,219,6,white
18,199,13,5,green
135,0,198,3,violet
121,37,205,3,violet
39,68,201,4,blue
17,35,225,4,blue
195,27,0,2,red
219,126,4,1,orange
231,219,10,0,yellow
9,199,38,5,green
111,4,220,3,violet
217,234,0,0,yellow
218,0,20,2,red
241,216,15,0,yellow
255,212,10,0,yellow
222,32,20,2,red
17,35,13,7,black
35,202,44,5,green
145,45,192,3,violet
221,0,6,2,red
228,239,243,6,white
0,75,221,4,blue
222,123,24,1,orange
32,19,23,7,black
6,51,186,4,blue
117,40,184,3,violet
134,19,204,3,violet
227,243,245,6,white
21,37,22,7,black
152,24,199,3,violet
228,0,15,2,red
27,7,5,7,black
122,18,220,3,violet
248,112,2,1,orange
128,39,218,3,violet
218,218,13,0,yellow
11,156,43,5,green
16,5,2,7,black
234,231,33,0,yellow
12,5,2,7,black
218,213,33,0,yellow
220,247,245,6,white
0,200,18,5,green
246,240,23,0,yellow
34,47,197,4,blue
0,175,37,5,green
26,159,16,5,green
219,114,8,1,orange
230,231,0,0,yellow
204,13,17,2,red
4,53,195,4,blue
188,31,6,2,red
237,92,33,1,orange
234,211,9,0,yellow
133,0,189,3,violet
224,247,226,6,white
214,244,228,6,white
10,165,41,5,green
216,212,226,6,white
223,235,11,0,yellow
26,30,6,7,black
212,212,226,6,white
108,35,220,3,violet
24,35,195,4,blue
218,230,10,0,yellow
13,46,232,4,blue
143,23,185,3,violet
228,223,23,0,yellow
110,13,207,3,violet
31,3,12,7,black
29,19,7,7,black
223,23,38,2,red
250,215,243,6,white
136,37,197,3,violet
199,4,0,2,red
231,128,21,1,orange
209,107,22,1,orange
27,36,225,4,blue
202,0,39,2,red
33,191,29,5,green
231,234,237,6,white
19,24,10,7,black
0,77,210,4,blue
252,206,44,0,yellow
23,13,16,7,black
234,232,236,6,white
9,7,26,7,black
247,244,34,0,yellow
14,12,36,7,black
45,195,9,5,green
230,218,239,6,white
17,159,25,5,green
2,25,26,7,black
238,200,45,0,yellow
23,81,232,4,blue
22,16,32,7,black
33,8,28,7,black
242,216,12,0,yellow
244,86,33,1,orange
22,25,38,7,black
31,36,224,4,blue
11,38,221,4,blue
20,42,207,4,blue
250,102,0,1,orange
202,2,11,2,red
255,197,22,0,yellow
226,0,0,2,red
33,186,32,5,green
218,210,212,6,white
250,213,228,6,white
1,203,7,5,green
137,11,197,3,violet
14,81,212,4,blue
118,0,215,3,violet
246,208,17,0,yellow
11,46,228,4,blue
21,8,16,7,black
152,29,191,3,violet
235,234,246,6,white
235,120,38,1,orange
24,187,46,5,green
0,181,9,5,green
129,3,182,3,violet
224,12,9,2,red
9,204,6,5,green
135,22,176,3,violet
0,66,200,4,blue
211,127,23,1,orange
148,19,197,3,violet
196,14,13,2,red
6,27,16,7,black
148,0,219,3,violet
0,66,225,4,blue
251,111,28,1,orange
145,42,189,3,violet
31,30,6,7,black
234,124,28,1,orange
146,27,177,3,violet
191,17,12,2,red
191,3,0,2,red
21,39,221,4,blue
226,230,0,0,yellow
221,131,30,1,orange
247,217,219,6,white
7,11,10,7,black
7,175,21,5,green
109,37,223,3,violet
252,94,16,1,orange
0,35,186,4,blue
219,204,43,0,yellow
0,67,213,4,blue
24,62,218,4,blue
118,14,202,3,violet
235,6,4,2,red
34,78,191,4,blue
147,25,219,3,violet
216,197,15,0,yellow
20,75,220,4,blue
1,54,199,4,blue
246,249,237,6,white
2,195,34,5,green
229,226,9,0,yellow
233,123,20,1,orange
209,17,3,2,red
41,196,25,5,green
154,38,192,3,violet
152,0,224,3,violet
223,223,233,6,white
248,211,30,0,yellow
12,36,223,4,blue
29,30,14,7,black
0,74,208,4,blue
221,114,0,1,orange
34,165,27,5,green
244,123,33,1,orange
0,48,193,4,blue
40,202,25,5,green
210,1,35,2,red
35,167,26,5,green
2,184,6,5,green
211,98,22,1,orange
245,232,235,6,white
221,0,17,2,red
250,243,221,6,white
0,176,33,5,green
22,164,21,5,green
28,52,187,4,blue
223,134,34,1,orange
255,222,17,0,yellow
250,218,2,0,yellow
26,76,191,4,blue
10,42,190,4,blue
233,232,246,6,white
220,218,231,6,white
255,230,29,0,yellow
211,95,18,1,orange
112,13,180,3,violet
249,117,0,1,orange
3,61,188,4,blue
39,59,206,4,blue
124,24,193,3,violet
106,5,193,3,violet
19,188,31,5,green
16,19,13,7,black
27,26,10,7,black
187,39,0,2,red
202,0,38,2,red
4,181,7,5,green
115,6,198,3,violet
229,228,235,6,white
144,23,186,3,violet
0,183,35,5,green
216,0,28,2,red
236,109,12,1,orange
5,13,9,7,black
212,101,32,1,orange
136,28,204,3,violet
215,20,0,2,red
219,89,2,1,orange
36,175,30,5,green
117,35,212,3,violet
116,0,192,3,violet
3,5,16,7,black
0,194,19,5,green
113,27,212,3,violet
223,212,34,0,yellow
10,4,27,7,black
10,43,199,4,blue
231,88,0,1,orange
220,114,13,1,orange
13,37,15,7,black
13,172,10,5,green
233,0,32,2,red
187,20,36,2,red
225,113,7,1,orange
215,108,0,1,orange
26,13,27,7,black
26,43,219,4,blue
26,177,51,5,green
13,175,13,5,green
215,243,228,6,white
185,11,34,2,red
222,218,22,0,yellow
227,216,210,6,white
231,129,25,1,orange
16,59,205,4,blue
0,38,226,4,blue
229,32,40,2,red
208,0,38,2,red
244,237,28,0,yellow
214,220,219,6,white
8,162,45,5,green
234,19,20,2,red
231,5,35,2,red
209,85,6,1,orange
232,128,0,1,orange
244,124,5,1,orange
234,245,9,0,yellow
235,123,17,1,orange
154,15,201,3,violet
2,75,187,4,blue
247,223,235,6,white
0,40,197,4,blue
231,211,245,6,white
5,26,33,7,black
3,161,55,5,green
40,166,35,5,green
37,166,28,5,green
26,13,38,7,black
23,48,208,4,blue
26,6,23,7,black
245,249,246,6,white
112,12,178,3,violet
232,102,13,1,orange
38,194,29,5,green
220,37,25,2,red
32,167,20,5,green
6,196,41,5,green
38,7,14,7,black
1,63,187,4,blue
132,5,202,3,violet
228,219,237,6,white
217,223,31,0,yellow
41,175,33,5,green
134,18,187,3,violet
246,221,211,6,white
12,37,19,7,black
25,5,15,7,black
230,107,12,1,orange
29,21,6,7,black
244,231,241,6,white
247,108,35,1,orange
255,228,14,0,yellow
207,121,31,1,orange
41,165,51,5,green
33,9,34,7,black
235,224,212,6,white
248,109,0,1,orange
43,157,8,5,green
219,235,250,6,white
45,195,41,5,green
239,226,20,0,yellow
217,241,45,0,yellow
113,0,186,3,violet
200,21,14,2,red
245,215,231,6,white
129,8,200,3,violet
11,166,27,5,green
226,226,231,6,white
10,8,34,7,black
228,15,10,2,red
235,92,9,1,orange
230,110,27,1,orange
213,37,2,2,red
248,195,37,0,yellow
218,3,35,2,red
123,13,219,3,violet
10,159,44,5,green
0,38,205,4,blue
33,31,20,7,black
219,90,8,1,orange
239,108,24,1,orange
11,78,205,4,blue
208,12,37,2,red
246,233,29,0,yellow
221,243,35,0,yellow
236,218,233,6,white
186,8,16,2,red
24,68,187,4,blue
239,235,18,0,yellow
117,2,187,3,violet
194,28,0,2,red
252,116,38,1,orange
239,213,238,6,white
241,132,39,1,orange
4,174,26,5,green
215,242,247,6,white
240,221,231,6,white
28,29,17,7,black
227,99,3,1,orange
250,214,37,0,yellow
215,216,248,6,white
186,10,14,2,red
243,229,25,0,yellow
255,232,37,0,yellow
13,172,40,5,green
185,0,6,2,red
123,17,225,3,violet
12,35,17,7,black
14,50,221,4,blue
2,71,207,4,blue
232,9,33,2,red
142,3,191,3,violet
255,206,44,0,yellow
240,86,36,1,orange
34,199,9,5,green
0,178,6,5,green
20,201,54,5,green
222,118,0,1,orange
222,223,238,6,white
130,14,217,3,violet
0,48,232,4,blue
16,203,34,5,green
10,41,207,4,blue
226,9,21,2,red
2,201,33,5,green
206,7,7,2,red
226,9,0,2,red
227,225,237,6,white
211,93,38,1,orange
239,224,32,0,yellow
124,0,177,3,violet
195,29,0,2,red
217,249,212,6,white
34,22,18,7,black
212,7,0,2,red
236,246,231,6,white
31,166,33,5,green
194,9,29,2,red
209,35,23,2,red
230,226,32,0,yellow
18,67,222,4,blue
255,209,33,0,yellow
221,123,9,1,orange
36,54,208,4,blue
212,216,237,6,white
7,71,224,4,blue
149,15,208,3,violet
243,244,236,6,white
18,171,32,5,green
209,86,0,1,orange
146,0,185,3,violet
38,172,53,5,green
228,123,35,1,orange
5,39,219,4,blue
207,96,28,1,orange
217,232,18,0,yellow
239,219,37,0,yellow
7,60,209,4,blue
230,213,239,6,white
231,216,12,0,yellow
4,42,188,4,blue
222,223,219,6,white
142,22,207,3,violet
243,123,10,1,orange
228,120,25,1,orange
14,45,221,4,blue
29,32,32,7,black
251,197,43,0,yellow
0,46,217,4,blue
148,10,209,3,violet
223,235,1,0,yellow
124,34,214,3,violet
236,240,243,6,white
220,213,240,6,white
208,109,23,1,orange
36,16,23,7,black
20,53,229,4,blue
13,65,221,4,blue
25,205,22,5,green
27,67,190,4,blue
25,164,22,5,green
24,51,224,4,blue
239,244,231,6,white
218,87,0,1,orange
112,12,179,3,violet
213,236,249,6,white
14,4,17,7,black
195,10,0,2,red
10,178,14,5,green
235,135,26,1,orange
27,4,16,7,black
122,44,182,3,violet
232,234,217,6,white
221,249,238,6,white
37,79,212,4,blue
11,200,55,5,green
250,214,240,6,white
24,15,17,7,black
237,231,211,6,white
111,10,223,3,violet
122,40,211,3,violet
213,222,243,6,white
140,0,202,3,violet
26,62,200,4,blue
242,117,0,1,orange
26,171,43,5,green
208,95,26,1,orange
39,84,220,4,blue
224,246,227,6,white
222,119,40,1,orange
0,63,185,4,blue
218,220,41,0,yellow
250,214,223,6,white
35,18,16,7,black
2,32,18,7,black
251,238,43,0,yellow
244,236,0,0,yellow
121,19,182,3,violet
221,0,7,2,red
246,85,0,1,orange
235,246,219,6,white
205,0,39,2,red
212,217,223,6,white
231,219,212,6,white
115,30,187,3,violet
112,34,189,3,violet
121,10,181,3,violet
217,246,210,6,white
127,42,218,3,violet
18,178,20,5,green
200,36,33,2,red
221,0,18,2,red
227,211,241,6,white
17,15,20,7,black
154,33,206,3,violet
0,201,43,5,green
220,223,214,6,white
249,125,10,1,orange
0,177,43,5,green
3,27,32,7,black
26,41,193,4,blue
138,21,216,3,violet
20,186,53,5,green
6,5,24,7,black
42,167,18,5,green
9,170,8,5,green
29,59,216,4,blue
233,200,43,0,yellow
226,211,0,0,yellow
18,191,35,5,green
231,110,14,1,orange
255,225,24,0,yellow
186,21,0,2,red
21,179,49,5,green
31,172,53,5,green
249,242,28,0,yellow
226,208,16,0,yellow
16,10,11,7,black
228,13,1,2,red
223,239,218,6,white
2,169,7,5,green
216,215,1,0,yellow
12,40,189,4,blue
186,15,21,2,red
116,26,221,3,violet
4,190,25,5,green
45,165,15,5,green
114,6,191,3,violet
28,31,17,7,black
23,162,29,5,green
212,90,0,1,orange
10,172,43,5,green
215,213,234,6,white
44,164,41,5,green
10,72,222,4,blue
29,203,47,5,green
255,210,14,0,yellow
16,175,47,5,green
187,17,0,2,red
227,213,217,6,white
219,227,242,6,white
206,24,34,2,red
36,199,9,5,green
27,200,35,5,green
6,159,53,5,green
42,178,9,5,green
234,229,236,6,white
7,20,5,7,black
225,123,0,1,orange
187,32,10,2,red
0,37,206,4,blue
3,8,7,7,black
35,179,40,5,green
0,75,186,4,blue
222,224,0,0,yellow
26,161,25,5,green
152,20,185,3,violet
23,18,22,7,black
29,19,3,7,black
25,185,27,5,green
207,90,0,1,orange
127,42,202,3,violet
244,125,9,1,orange
25,31,6,7,black
37,13,7,7,black
21,14,18,7,black
218,11,33,2,red
241,249,244,6,white
213,125,9,1,orange
4,189,5,5,green
9,200,25,5,green
241,131,26,1,orange
255,205,26,0,yellow
234,126,25,1,orange
125,38,203,3,violet
213,226,210,6,white
226,30,0,2,red
255,119,15,1,orange
205,25,24,2,red
119,31,224,3,violet
107,26,176,3,violet
228,228,226,6,white
26,202,43,5,green
2,190,50,5,green
224,0,8,2,red
113,0,213,3,violet
236,210,243,6,white
226,0,0,2,red
245,245,11,0,yellow
234,10,0,2,red
28,37,31,7,black
0,72,204,4,blue
2,69,200,4,blue
0,178,30,5,green
36,185,41,5,green
255,226,23,0,yellow
250,243,10,0,yellow
216,0,30,2,red
216,35,18,2,red
132,36,218,3,violet
225,221,26,0,yellow
15,63,212,4,blue
214,92,38,1,orange
128,3,195,3,violet
39,73,185,4,blue
14,159,28,5,green
105,0,192,3,violet
208,0,0,2,red
22,205,48,5,green
219,228,227,6,white
140,36,225,3,violet
33,204,53,5,green
246,249,250,6,white
233,114,6,1,orange
108,0,222,3,violet
224,222,6,0,yellow
21,55,226,4,blue
118,9,193,3,violet
5,18,7,7,black
245,135,20,1,orange
211,5,1,2,red
28,164,52,5,green
197,29,15,2,red
255,196,0,0,yellow
0,65,191,4,blue
255,242,10,0,yellow
6,2,4,7,black
202,0,11,2,red
186,19,30,2,red
255,211,32,0,yellow
254,198,38,0,yellow
128,18,217,3,violet
0,42,214,4,blue
239,248,226,6,white
10,166,35,5,green
129,22,195,3,violet
40,85,207,4,blue
193,23,8,2,red
21,7,37,7,black
224,237,238,6,white
40,47,219,4,blue
212,115,33,1,orange
223,128,6,1,orange
119,1,182,3,violet
6,25,20,7,black
34,3,8,7,black
130,0,196,3,violet
44,178,49,5,green
236,248,249,6,white
11,9,37,7,black
230,25,34,2,red
11,15,15,7,black
26,15,22,7,black
36,37,191,4,blue
30,80,188,4,blue
16,78,233,4,blue
4,48,228,4,blue
40,189,12,5,green
143,15,194,3,violet
213,8,30,2,red
210,135,28,1,orange
117,43,202,3,violet
247,236,16,0,yellow
15,9,20,7,black
205,117,32,1,orange
38,23,23,7,black
7,200,43,5,green
244,128,18,1,orange
27,35,7,7,black
236,129,33,1,orange
190,25,38,2,red
27,175,38,5,green
135,40,206,3,violet
219,221,228,6,white
246,248,214,6,white
211,215,230,6,white
234,14,5,2,red
197,0,9,2,red
218,221,212,6,white
26,8,3,7,black
33,21,32,7,black
23,48,227,4,blue
255,214,38,0,yellow
231,239,246,6,white
231,246,216,6,white
8,4,33,7,black
21,189,33,5,green
26,9,2,7,black
199,16,5,2,red
226,26,2,2,red
32,68,218,4,blue
217,225,234,6,white
8,13,18,7,black
198,0,0,2,red
255,226,20,0,yellow
220,228,226,6,white
221,36,33,2,red
216,206,42,0,yellow
35,8,19,7,black
107,38,209,3,violet
136,15,192,3,violet
13,156,19,5,green
27,23,24,7,black
120,33,212,3,violet
219,239,241,6,white
5,77,212,4,blue
232,238,250,6,white
250,92,38,1,orange
19,8,17,7,black
219,121,14,1,orange
223,121,40,1,orange
32,17,11,7,black
145,5,180,3,violet
210,231,244,6,white
201,30,33,2,red
243,248,233,6,white
196,0,0,2,red
15,15,2,7,black
239,219,219,6,white
233,236,0,0,yellow
230,201,4,0,yellow
24,172,41,5,green
136,25,176,3,violet
255,237,7,0,yellow
0,62,207,4,blue
195,24,28,2,red
250,218,43,0,yellow
16,60,185,4,blue
150,27,177,3,violet
228,226,225,6,white
248,223,233,6,white
7,13,16,7,black
0,76,226,4,blue
228,24,0,2,red
11,168,37,5,green
19,174,6,5,green
39,44,186,4,blue
15,21,2,7,black
2,27,20,7,black
35,175,23,5,green
220,222,1,0,yellow
190,26,15,2,red
225,250,218,6,white
33,72,227,4,blue
144,43,182,3,violet
219,239,4,0,yellow
236,217,228,6,white
252,198,17,0,yellow
131,20,218,3,violet
234,220,235,6,white
204,35,14,2,red
30,160,33,5,green
255,215,7,0,yellow
248,219,210,6,white
213,250,219,6,white
216,218,14,0,yellow
40,173,24,5,green
8,174,37,5,green
230,133,3,1,orange
222,117,33,1,orange
220,225,17,0,yellow
22,191,30,5,green
255,201,23,0,yellow
16,172,39,5,green
109,0,201,3,violet
232,110,0,1,orange
222,96,0,1,orange
255,201,44,0,yellow
219,213,45,0,yellow
224,212,4,0,yellow
130,44,187,3,violet
209,32,21,2,red
232,0,35,2,red
227,16,17,2,red
236,244,4,0,yellow
225,223,223,6,white
205,100,0,1,orange
17,201,21,5,green
249,234,222,6,white
154,4,184,3,violet
0,66,228,4,blue
246,243,242,6,white
244,222,210,6,white
0,53,186,4,blue
236,216,231,6,white
119,20,196,3,violet
0,64,203,4,blue
226,234,31,0,yellow
226,243,236,6,white
207,114,0,1,orange
226,197,10,0,yellow
4,3,28,7,black
225,239,14,0,yellow
32,14,21,7,black
133,21,224,3,violet
42,202,24,5,green
152,0,199,3,violet
249,233,240,6,white
18,22,25,7,black
250,248,211,6,white
15,67,197,4,blue
241,235,245,6,white
0,45,197,4,blue
145,2,188,3,violet
222,225,241,6,white
13,75,189,4,blue
255,110,20,1,orange
229,203,4,0,yellow
233,250,224,6,white
242,116,39,1,orange
142,22,184,3,violet
116,0,210,3,violet
218,236,25,0,yellow
233,24,0,2,red
227,218,38,0,yellow
208,27,5,2,red
220,124,33,1,orange
255,211,44,0,yellow
255,231,21,0,yellow
125,36,225,3,violet
212,211,217,6,white
234,125,32,1,orange
255,203,0,0,yellow
0,174,21,5,green
217,237,16,0,yellow
5,68,202,4,blue
236,209,16,0,yellow
214,98,34,1,orange
45,180,7,5,green
220,0,33,2,red
16,36,37,7,black
188,30,6,2,red
233,240,0,0,yellow
187,11,0,2,red
255,114,0,1,orange
237,121,23,1,orange
206,7,0,2,red
1,156,30,5,green
188,30,20,2,red
4,180,28,5,green
0,36,234,4,blue
137,13,177,3,violet
227,231,242,6,white
0,83,193,4,blue
110,30,191,3,violet
118,32,197,3,violet
17,198,27,5,green
221,0,22,2,red
35,185,48,5,green
218,39,21,2,red
40,167,25,5,green
249,110,0,1,orange
8,12,34,7,black
15,189,27,5,green
0,44,225,4,blue
247,218,229,6,white
229,220,243,6,white
244,221,211,6,white
133,2,205,3,violet
31,77,197,4,blue
249,238,227,6,white
188,34,23,2,red
35,45,222,4,blue
253,223,21,0,yellow
217,210,225,6,white
236,234,39,0,yellow
